matchid,team_home,team_home_id,score_home,team_away,team_away_id,score_away,mu_coach_player_all_t1,mu_coach_player_all_t2,mu_coach_player_suc_t1,mu_coach_player_suc_t2,mu_rel_all_t1,mu_rel_all_t2,mu_rel_suc_t1,mu_rel_suc_t2,seasonyear,mean_goals_t1_bin_5,mean_assists_t1_bin_5,mean_goals_t2_bin_5,mean_assists_t2_bin_5,mean_goals_t1_bin_3,mean_assists_t1_bin_3,mean_goals_t2_bin_3,mean_assists_t2_bin_3,mean_goals_t1_bin_1,mean_assists_t1_bin_1,mean_goals_t2_bin_1,mean_assists_t2_bin_1
2222535,borussia-dortmund,16,2,sv-werder-bremen,86,1,67.277779,37.888889,42,15.333333,30.379086,9.4509802,19.477123,3.3856208,2012,1.5023539,1.0013214,1.0316324,.80979246,1.3117039,1.1573124,1.0331876,.8489418,1.5268519,1.2203704,.82910055,.7962963
2222536,hannover-96,42,2,fc-schalke-04,33,2,45.444443,13.294118,19.888889,7.5294118,27.464052,11.551471,11.20915,5.6323528,2012,.98547709,.80837655,1.2601135,.92465615,.95337284,.85125661,1.1738344,.80357152,.65985447,.68518519,1.4145424,.99831933
2222537,borussia-monchengladbach,18,2,tsg-1899-hoffenheim,533,1,28.444445,7.7777777,13.944445,2.5555556,24.202614,11.156863,10.673203,3.8300653,2012,1.5350652,.78247023,1.117285,.89267123,1.3833214,.85097432,1.106125,.81417346,2.2231481,1.1448413,1.4480159,1.212963
2222538,vfb-stuttgart,79,0,vfl-wolfsburg,82,1,28.555555,23.166666,13.055555,10.555555,25.026144,10.281046,11.019608,3.8169935,2012,1.1578835,.88878447,1.3405219,.86771381,1.274822,.84054631,1.3046187,.88066375,1.3888888,.84722221,1.8186508,1.4203703
2222539,sc-freiburg,60,1,1-fsv-mainz-05,39,1,10.777778,38.833332,4.3888888,14.444445,11.993464,21.38562,3.8888888,7.5490198,2012,1.1286147,.63692713,.93488026,.61849582,1.1188167,.75462961,.94569904,.78302467,1.2555555,1.0888889,1.0324074,.97500002
2222540,fc-augsburg,167,0,fortuna-dusseldorf,38,2,0,.27777779,0,.055555556,3.993464,.22222222,1.0784314,.052287582,2012,1.2194582,.59191895,1.2304012,1.0033679,1.2347262,.64874738,1.3770987,1.1189755,.93703705,.5138889,1.9296297,1.5092592
2222541,hamburger-sv,41,0,1-fc-nurnberg,4,1,15.222222,33.277779,3.8333333,12,11.091503,13.254902,2.8300653,4.5947714,2012,1.1115843,.55124807,1.1175438,.56476837,1.0244354,.55343515,1.1528178,.57727075,1.4636244,.61018521,1.0148149,.87037039
2222542,eintracht-frankfurt,24,2,bayer-04-leverkusen,15,1,.33333334,2.8888888,.16666667,1.8888888,5.2549019,22.045752,1.5424837,10.477124,2012,1.2398468,.83424884,1.1677604,.86243767,1.4206117,1.1070106,1.151473,.98078108,2.3055556,1.75,1.0574074,1.0092592
2222543,spvgg-greuther-furth,65,0,fc-bayern-munchen,27,3,.83333331,18.722221,.5,11.944445,0,14.261438,0,8.6274509,2012,1.3742784,.92410862,1.5874865,1.2604651,1.2904259,1.0319885,1.702968,1.446184,2.0354939,1.5343915,2.2657406,1.7777778
2231384,borussia-monchengladbach,18,3,bayer-04-leverkusen,15,3,17.388889,2.3888888,8.333333,1.6111112,14.189543,18.045752,6.2026143,8.4771242,2012,1.6494606,.77402496,1.2767239,.89415658,1.5471442,.84464115,1.282666,.97260207,2.3990741,1.1865079,1.2481482,1.0833334
2231385,vfl-wolfsburg,82,0,hannover-96,42,4,22.166666,43.055557,10.055555,18.777779,7.0784316,25.065359,2.6928105,10.287581,2012,1.4515698,.95362419,1.3170247,.89864832,1.4658368,.97788602,1.3405967,1.0337963,2.0501323,1.3703704,1.1917989,.94444442
2231386,tsg-1899-hoffenheim,533,0,eintracht-frankfurt,24,4,7.7777777,.33333334,2.5555556,.16666667,8.7581701,5.2549019,2.9150326,1.5424837,2012,1.2895072,.91918635,1.2398468,.83424884,1.3098286,.85429692,1.4206117,1.1070106,1.7202381,1.2407408,2.3055556,1.75
2231387,1-fc-nurnberg,4,1,borussia-dortmund,16,1,33.388889,71,12.388889,44.611111,11.54902,30.490196,4.4313726,19.941177,2012,1.0316852,.48446533,1.5063943,1.022055,1.1059924,.49790564,1.297815,1.175831,.93148148,.73148149,1.5546297,1.3037037
2231388,1-fsv-mainz-05,39,0,spvgg-greuther-furth,65,1,42.166668,.83333331,15.777778,.5,23.777779,0,8.4771242,0,2012,.76398075,.54627365,1.3390932,.86379117,.77638686,.69770724,1.2918148,.99880952,.79166669,.63425928,2.1651235,1.6640211
2231389,fortuna-dusseldorf,38,0,borussia-monchengladbach,18,0,.27777779,22.222221,.055555556,10.722222,.22222222,19.392157,.052287582,8.5686274,2012,1.1698632,1.0681827,1.5217801,.74543321,1.1314638,1.0949014,1.3962183,.83510131,.95740741,1.3425926,2.2601852,1.1448413
2231390,sv-werder-bremen,86,2,hamburger-sv,41,0,38.222221,14.722222,15.333333,3.7222223,9.4836597,13.20915,3.3856208,3.5555556,2012,1.0316324,.74705982,1.2066997,.62577909,1.0217237,.75370371,1.1114826,.59686947,1.0050265,.76296294,1.5324074,.65833336
2231391,fc-schalke-04,33,3,fc-augsburg,167,1,14.388889,0,8.1111107,0,14.111111,5.346405,7.0457516,1.3790849,2012,1.3119763,1.0615728,1.1897866,.63737351,1.2263023,1.0372347,1.0958374,.60024649,1.2472222,1.0916667,.8759259,.47222221
2231392,bayer-04-leverkusen,15,2,sc-freiburg,60,0,2.8888888,10.055555,1.8888888,4.2777777,23.261438,10.797385,10.830066,3.986928,2012,1.1677604,.86243767,1.2395358,.73913169,1.151473,.98078108,1.137247,.75154322,1.0574074,1.0092592,1.2,1.0888889
2231393,fc-bayern-munchen,27,6,vfb-stuttgart,79,1,20.833334,24.111111,13.611111,10.444445,20.59477,14.48366,12.601307,6.2810459,2012,1.442098,1.2619359,1.118891,.88335186,1.4897525,1.4495791,1.2243168,.85990661,2.1787038,1.9990741,1.2703704,.88796294
2231394,1-fc-nurnberg,4,0,vfb-stuttgart,79,2,32.111111,31.722221,11.777778,14.944445,9.8235292,27.718954,3.6274509,12.196078,2012,1.0502361,.43513873,1.1200073,.94394076,1.1420153,.54949296,1.2835761,.93368608,.94074076,.75925928,1.3583333,1.0129629
2231395,sv-werder-bremen,86,0,fc-bayern-munchen,27,2,39,22.5,15.555555,14.777778,9.9215689,22,3.5294118,13.457517,2012,1.113536,.80631912,1.4513572,1.3174915,1.0811373,.83009261,1.492839,1.5120791,1.0883598,.8740741,2.175926,1.9990741
2231396,tsg-1899-hoffenheim,533,0,fc-augsburg,167,0,6.0555553,0,2,0,7.7908497,3.6666667,2.6862745,.97385621,2012,1.2817543,.9622128,1.2110828,.597691,1.3175006,.92407209,1.127403,.5454846,1.7063493,1.212963,.75555557,.41666666
2231397,fortuna-dusseldorf,38,2,fc-schalke-04,33,2,.27777779,13.222222,.055555556,7.5,.37908497,12.405229,.084967323,6.3006535,2012,1.0836259,.69159544,1.2979288,.95362318,.97841132,.66106302,1.1164075,.78998441,.60092592,.4861111,1.2523148,.88822752
2231398,eintracht-frankfurt,24,2,sc-freiburg,60,1,.33333334,11.333333,.16666667,4.8333335,6.006536,14.555555,1.7843137,5.1111112,2012,1.2030413,.78542733,1.3404974,.77061319,1.3357352,1.0213624,1.2173256,.79398149,1.9444444,1.5,1.3759259,1.3388889
2231399,hamburger-sv,41,1,hannover-96,42,0,13.277778,44.529411,3.3333333,19.470589,9.2352943,29.066177,2.4248366,12.051471,2012,1.4931475,.7559973,1.2697093,.88704741,1.3073159,.75540125,1.2464058,.98273808,1.6120371,.71388888,1.0100141,.84313726
2231400,hannover-96,42,4,1-fc-nurnberg,4,1,42.388889,33.055557,18.555555,11.888889,24.437908,12.830066,10.084968,4.4444447,2012,1.2863128,.86356062,1.1080741,.57032388,1.258238,.94004631,1.1194845,.57727075,1.0253307,.7962963,1.0148149,.87037039
2231401,fc-augsburg,167,1,bayer-04-leverkusen,15,3,0,3.1111112,0,2,4.1176472,23.79085,1.1437908,11.111111,2012,1.173256,.55668569,1.2480073,.93095618,1.1218474,.51991141,1.2632155,1.0425096,.71481484,.45833334,1.1222222,1.0462962
2231402,fc-bayern-munchen,27,2,tsg-1899-hoffenheim,533,0,20.777779,5.2777777,13.666667,1.7222222,21.915033,5.006536,13.411765,1.7058823,2012,1.4513572,1.3174915,.96587104,.7091825,1.492839,1.5120791,1.0267599,.79054034,2.175926,1.9990741,1.5322751,1.1722223
2231403,eintracht-frankfurt,24,3,borussia-dortmund,16,3,.33333334,71,.16666667,44.611111,6.006536,30.490196,1.7843137,19.941177,2012,1.2030413,.78542733,1.5063943,1.022055,1.3357352,1.0213624,1.297815,1.175831,1.9444444,1.5,1.5546297,1.3037037
2231404,spvgg-greuther-furth,65,0,fortuna-dusseldorf,38,2,.83333331,.27777779,.5,.055555556,.16993465,.37908497,.05882353,.084967323,2012,1.2184281,.84504551,1.0836259,.69159544,1.1870681,.97445142,.97841132,.66106302,2.0375817,1.5098039,.60092592,.4861111
2231405,vfb-stuttgart,79,0,tsg-1899-hoffenheim,533,3,31.111111,5.8888888,14.444445,1.8888888,25.601307,8.2679739,11.333333,2.7712419,2012,1.1812564,1.0568376,1.1045163,.90782273,1.1668553,.97158289,1.1619451,.91018319,1.0805556,.81851852,1.5998677,1.212963
2231406,fc-schalke-04,33,3,vfl-wolfsburg,82,0,13.388889,21.555555,7.6111112,9.7222223,11.888889,6.6339869,5.7843137,2.4313726,2012,1.346625,1.0499649,1.4066725,.9119575,1.1613101,.96163344,1.4228168,.94547862,1.2634259,.95674604,1.8742063,1.3648148
2231407,bayer-04-leverkusen,15,2,spvgg-greuther-furth,65,0,2.7222223,.83333331,1.7777778,.5,20.647058,.16993465,9.640523,.05882353,2012,1.2855451,.99594736,1.1811733,.7811799,1.3069164,1.1091762,1.1885388,.93932074,1.0851852,1.0277778,2.1748366,1.6470588
2231408,borussia-dortmund,16,5,borussia-monchengladbach,18,0,68.833336,22.444445,43.333332,10.888889,30.784313,20.82353,20.339869,9.0522881,2012,1.4501443,.94228297,1.5285298,.69719011,1.2589262,1.0739791,1.3579935,.75970447,1.5685185,1.3592592,1.9861112,1.0707672
2231409,vfl-wolfsburg,82,1,spvgg-greuther-furth,65,1,23.222221,.83333331,10.444445,.5,7.8039217,.16993465,2.8692811,.05882353,2012,1.3772109,.866503,1.2184281,.84504551,1.3825034,.88066375,1.1870681,.97445142,1.8279101,1.175926,2.0375817,1.5098039
2231410,bayer-04-leverkusen,15,1,borussia-monchengladbach,18,1,3.2222223,24.944445,2.0555556,12.111111,27.973856,20.254902,13.196078,8.973856,2012,1.1752949,.87381333,1.0890317,.74756992,1.1237093,.90917617,.974922,.83818775,.89999998,.87962961,1.3157407,1.1587301
2231411,vfl-wolfsburg,82,0,1-fsv-mainz-05,39,2,21.5,35.722221,9.6111107,13.5,6.8169932,14.816994,2.3856208,5.4967322,2012,1.4154053,.92205852,.86211914,.62029582,1.420965,.94547862,.86405724,.78131038,1.8742063,1.3648148,.85648149,1.0046296
2231412,fc-bayern-munchen,27,3,vfl-wolfsburg,82,0,15.333333,22.555555,10.611111,10.166667,15.797385,7.3986926,9.9934645,2.7058823,2012,1.5686412,1.4736376,1.3549886,.96764255,1.6595056,1.599537,1.357812,.99408972,2.3537037,1.9074074,1.9556879,1.3981482
2231413,sv-werder-bremen,86,2,vfb-stuttgart,79,2,38.222221,34.888889,15.333333,16,9.4836597,30.287582,3.3856208,13.300653,2012,1.0316324,.74705982,1.0893108,.86110669,1.0217237,.75370371,1.2650577,.84795374,1.0050265,.76296294,1.4555556,.92962962
2231414,hamburger-sv,41,3,borussia-dortmund,16,2,13.277778,73.666664,3.3333333,46.333332,9.2156858,36.248367,2.4183006,23.61438,2012,1.438874,.71559322,1.395896,.99692279,1.2540753,.72206789,1.2483201,1.1480532,1.5564815,.7027778,1.5240741,1.3148148
2231415,sc-freiburg,60,5,tsg-1899-hoffenheim,533,3,11.833333,6.5,5,2.0555556,15.150327,8.0588236,5.4117646,2.7058823,2012,1.2996024,.78709668,.91419643,.61287326,1.1066029,.82731479,.9582414,.67341071,1.3851852,1.3388889,1.3239418,.97777778
