matchid,team_home,team_home_id,score_home,team_away,team_away_id,score_away,mu_coach_player_all_t1,mu_coach_player_all_t2,mu_coach_player_suc_t1,mu_coach_player_suc_t2,mu_rel_all_t1,mu_rel_all_t2,mu_rel_suc_t1,mu_rel_suc_t2,seasonyear,mean_goals_t1_bin_5,mean_assists_t1_bin_5,mean_goals_t2_bin_5,mean_assists_t2_bin_5,mean_goals_t1_bin_3,mean_assists_t1_bin_3,mean_goals_t2_bin_3,mean_assists_t2_bin_3,mean_goals_t1_bin_1,mean_assists_t1_bin_1,mean_goals_t2_bin_1,mean_assists_t2_bin_1
2223841,stade-brest-29,3911,2,fc-valenciennes,1423,1,0,20.888889,0,6.7222223,8.4836597,27.38562,2.3790851,8.5294113,2012,.67735958,.32744116,.53130645,.39810583,.73451751,.39590749,.60286397,.47455648,.41851851,.2962963,.59411764,.5
2223842,ac-ajaccio,1147,1,stade-brest-29,3911,0,0,0,0,0,11.464052,8.4052286,2.9738562,2.1764705,2012,.68129158,.35007969,.72575134,.3712683,.66100091,.39689153,.76404351,.43631151,.77843136,.54411763,.45555556,.31111112
2223843,stade-reims,1421,2,as-nancy-lorraine,1159,0,0,19.611111,0,6.1111112,.24836601,15.352942,.052287582,5.0718956,2012,.46468979,.2277616,.66794437,.44026709,.56411737,.24056438,.74034464,.49906629,.91176468,.49019608,1.0392157,.55882353
2223844,hsc-montpellier,969,1,as-saint-etienne,618,1,66.888885,25.777779,34,9.2777777,37.150326,9.333333,19.339869,3.4705882,2012,.88893777,.46353978,.72259665,.53462964,.87485957,.55606061,.72085834,.59860611,1.2,.69907409,.7490741,.69775134
2223845,osc-lille,1082,1,olympique-lyon,1041,1,44.833332,19.222221,24.277779,9.8888893,21.124184,18.450981,11.653595,9.359477,2012,.65101022,.42916676,.80763423,.4687463,.71019435,.48346561,.75981629,.41628087,.73359787,.42962962,.85005409,.40925926
2223846,fc-toulouse,415,2,fc-stade-rennes,273,2,59.222221,40.166668,22.944445,16.611111,26.882353,16.104576,10.712419,6.8235292,2012,.49492922,.46104831,.67722917,.48578465,.59553474,.53908527,.64630431,.54499757,.7962963,.7037037,.65709877,.57037038
2223847,sc-bastia,595,0,fc-paris-saint-germain,583,4,.27777779,10.666667,.055555556,6.1666665,.11111111,13.575164,.026143791,7.4379086,2012,.63301939,.42873678,1.1474535,.88256514,.70324028,.45026454,1.1767379,.91374218,.93981481,.69907409,1.3407408,1.0462962
2223848,fc-lorient,1158,1,ogc-nizza,417,1,36.333332,1.2222222,10.166667,.6111111,8.1372547,6.1372547,2.1960785,1.6928104,2012,.53882664,.31536266,.4945845,.39015654,.53140134,.34264469,.45429525,.39904475,.75648147,.47222221,.4852941,.39215687
2223849,olympique-marseille,244,1,fc-evian-thonon-gaillard,14171,0,1.8333334,0,.3888889,0,17.738562,11.320261,6.7973857,3.9673202,2012,.68858671,.44796786,.75912422,.50143445,.74565899,.52614826,.83448482,.57553715,.71124339,.5,.91388887,.625
2223850,fc-sochaux-montbeliard,750,3,es-troyes-ac,1095,1,5.1666665,5.2777777,3.1111112,1.3888888,5.5947714,.54248369,2.013072,.15686275,2012,.41545427,.31438482,.80029726,.45607024,.41360652,.34522069,.78016591,.49920633,.432493,.24509804,.80686277,.54019606
2223851,fc-girondins-bordeaux,40,2,ac-ajaccio,1147,2,29.277779,0,12.666667,0,33.104576,11.03268,16.379086,2.9281046,2012,.69439125,.56475496,.56063145,.34545007,.6120742,.60278308,.57626462,.39689153,1.1813725,.79411763,.51296294,.45833334
2223852,fc-valenciennes,1423,0,fc-girondins-bordeaux,40,0,22.666666,39.3125,7.3333335,16.8125,32.973858,29.833334,10.464052,14.266666,2012,.51460993,.37598881,.72417957,.64248049,.57631594,.44819224,.68574548,.72991407,.57499999,.47222221,1.3489584,.97916669
2223853,fc-paris-saint-germain,583,2,fc-toulouse,415,0,9.333333,59.222221,5.3333335,22.944445,14.679739,26.803921,7.4444447,10.686275,2012,1.2937905,.88698328,.49492922,.46104831,1.2786613,.93879491,.59553474,.53908527,1.3609788,.9675926,.7962963,.7037037
2223854,olympique-lyon,1041,2,ac-ajaccio,1147,0,20.055555,0,10.166667,0,19.117647,9.5555553,9.5163403,2.5163398,2012,.94399786,.56596851,.69553649,.40490773,.87092739,.49564594,.66376466,.42566139,.92783189,.52037036,.72777778,.5138889
2223855,stade-reims,1421,3,hsc-montpellier,969,1,0,64.444443,0,33,.20915033,35.653595,.039215688,18.82353,2012,.59752607,.21436372,.94686908,.52835459,.64844275,.25908288,.94556665,.63383836,1.5588236,.43137255,1.3111111,.77314812
